Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,2.1,48,4668,1730,480
9,PASS,4.9,48,4432,1730,480
10,PASS,2.1,64,5584,1730,480
11,PASS,2.1,80,8000,1730,480
12,PASS,3.0,48,7540,1730,480
13,PASS,2.9,88,9448,1730,480
14,PASS,3.0,64,9448,1730,480
15,PASS,3.0,64,9036,1730,480
16,PASS,4.4,48,12104,1730,480
17,PASS,3.6,104,12132,1730,480
18,PASS,3.9,64,12132,1730,480
19,PASS,4.0,120,14772,1730,480
20,PASS,4.4,80,14772,1730,480
21,PASS,3.8,80,15128,1730,480
22,PASS,4.8,96,20152,1730,480
23,PASS,5.6,104,19312,1730,480
24,PASS,5.6,64,19312,1730,480
25,PASS,3.9,80,17800,1730,480
26,PASS,4.8,104,19392,1730,480
27,PASS,5.0,64,19392,1730,480
28,PASS,6.1,80,23988,1730,480
29,PASS,5.6,120,23596,1730,480
30,PASS,5.8,80,23596,1730,480
31,PASS,8.3,104,29812,1730,480
32,PASS,8.2,64,29812,1730,480
33,PASS,6.4,96,31776,1730,480
34,PASS,5.8,120,29092,1730,480
35,PASS,5.9,80,29092,1730,480
36,PASS,8.0,64,30728,1730,480
37,PASS,8.9,200,36704,1730,480
38,PASS,8.9,160,36704,1730,480
39,PASS,8.7,120,36704,1730,480
40,PASS,9.2,80,36704,1730,480
41,PASS,8.3,120,38036,1730,480
42,PASS,8.3,80,38036,1730,480
43,PASS,10.2,136,48372,1730,480
44,PASS,10.6,96,48372,1730,480
45,PASS,8.1,80,37452,1730,480
46,PASS,12.0,144,47132,1730,480
47,PASS,11.9,104,47132,1730,480
48,PASS,12.0,64,47132,1730,480
49,PASS,8.6,80,46528,1730,480
50,PASS,10.2,80,44964,1730,480
51,PASS,11.5,184,48704,1730,480
52,PASS,11.0,144,48704,1730,480
53,PASS,11.3,104,48704,1730,480
54,PASS,11.3,64,48704,1730,480
55,PASS,10.7,96,59116,1730,480
56,PASS,12.9,80,58064,1730,480
57,PASS,13.0,200,58072,1730,480
58,PASS,13.0,160,58072,1730,480
59,PASS,13.2,120,58072,1730,480
60,PASS,13.1,80,58072,1730,480
61,PASS,11.7,160,59976,1730,480
62,PASS,11.6,120,59976,1730,480
63,PASS,12.1,80,59976,1730,480
64,PASS,19.4,64,70944,1730,480
65,PASS,14.8,136,75844,1730,480
66,PASS,15.0,96,75844,1730,480
67,PASS,14.0,200,71340,1730,480
68,PASS,17.8,160,71340,1730,480
69,PASS,14.0,120,71340,1730,480
70,PASS,14.0,80,71340,1730,480
71,PASS,17.3,104,74356,1730,480
72,PASS,17.3,64,74356,1730,480
73,PASS,13.4,160,70984,1730,480
74,PASS,13.6,120,70984,1730,480
75,PASS,13.6,80,70984,1730,480
76,PASS,15.9,136,91912,1730,480
77,PASS,16.0,96,91912,1730,480
78,PASS,20.1,160,87724,1730,480
79,PASS,20.8,120,87724,1730,480
80,PASS,20.1,80,87724,1730,480
81,PASS,16.2,64,76784,1730,480
82,PASS,19.2,160,91368,1730,480
83,PASS,19.3,120,91368,1730,480
84,PASS,19.3,80,91368,1730,480
85,PASS,23.0,216,112688,1730,480
86,PASS,22.9,176,112688,1730,480
87,PASS,24.7,136,112688,1730,480
88,PASS,22.8,96,112688,1730,480
89,PASS,19.0,120,91544,1730,480
90,PASS,19.1,80,91544,1730,480
91,PASS,26.6,264,111368,1730,480
92,PASS,26.6,224,111368,1730,480
93,PASS,27.6,184,111368,1730,480
94,PASS,26.2,144,111368,1730,480
95,PASS,26.9,104,111368,1730,480
96,PASS,26.5,64,111368,1730,480
97,PASS,21.4,120,111588,1730,480
98,PASS,20.9,80,111588,1730,480
99,PASS,21.7,96,118416,1730,480
100,PASS,22.3,80,108248,1730,480
101,PASS,20.5,240,112004,1730,480
102,PASS,20.6,200,112004,1730,480
103,PASS,20.5,160,112004,1730,480
104,PASS,20.7,120,112004,1730,480
105,PASS,20.4,80,112004,1730,480
106,PASS,25.9,144,117004,1730,480
107,PASS,25.6,104,117004,1730,480
108,PASS,25.6,64,117004,1730,480
109,PASS,25.3,136,138972,1730,480
110,PASS,25.9,96,138972,1730,480
111,PASS,29.7,120,136252,1730,480
112,PASS,29.5,80,136252,1730,480
113,PASS,29.7,360,137780,1730,480
114,PASS,29.6,320,137780,1730,480
115,PASS,29.4,280,137780,1730,480
116,PASS,29.5,240,137780,1730,480
117,PASS,30.0,200,137780,1730,480
118,PASS,29.5,160,137780,1730,480
119,PASS,30.0,120,137780,1730,480
120,PASS,30.3,80,137780,1730,480
121,PASS,29.2,96,173872,1730,480
122,PASS,24.0,200,132324,1730,480
123,PASS,23.3,160,132324,1730,480
124,PASS,23.6,120,132324,1730,480
125,PASS,23.1,80,132324,1730,480
126,PASS,28.4,80,143312,1730,480
127,PASS,40.9,104,164684,1730,480
128,PASS,39.7,64,164684,1730,480
129,PASS,34.9,216,175816,1730,480
130,PASS,37.3,176,175816,1730,480
131,PASS,34.9,136,175816,1730,480
132,PASS,34.5,96,175816,1730,480
133,PASS,27.6,160,143612,1730,480
134,PASS,27.7,120,143612,1730,480
135,PASS,27.7,80,143612,1730,480
136,PASS,32.5,240,168392,1730,480
137,PASS,32.4,200,168392,1730,480
138,PASS,34.7,160,168392,1730,480
139,PASS,32.9,120,168392,1730,480
140,PASS,32.6,80,168392,1730,480
141,PASS,39.5,184,174528,1730,480
142,PASS,39.5,144,174528,1730,480
143,PASS,39.2,104,174528,1730,480
144,PASS,39.4,64,174528,1730,480
145,PASS,30.7,160,174448,1730,480
146,PASS,30.7,120,174448,1730,480
147,PASS,33.5,80,174448,1730,480
148,PASS,32.3,160,169888,1730,480
149,PASS,32.5,120,169888,1730,480
150,PASS,33.1,80,169888,1730,480
151,PASS,37.3,216,213012,1730,480
152,PASS,37.9,176,213012,1730,480
153,PASS,40.6,136,213012,1730,480
154,PASS,37.8,96,213012,1730,480
155,PASS,45.3,280,204120,1730,480
156,PASS,45.9,240,204120,1730,480
157,PASS,46.1,200,204120,1730,480
