Dim,Status,Runtime,Heap,IR Cnt,Code Size B,Func Size B
8,PASS,53235.2,65992,0,2050,144
9,PASS,48133.9,66072,0,2050,144
10,PASS,53197.9,66072,0,2050,144
11,PASS,53347.7,66072,0,2050,144
12,PASS,47467.4,66072,0,2050,144
13,PASS,53374.4,66152,0,2050,144
14,PASS,53110.7,66152,0,2050,144
15,PASS,56231.8,66152,0,2050,144
16,PASS,53519.0,66152,0,2050,144
17,PASS,53299.8,66248,0,2050,144
18,PASS,46384.8,66248,0,2050,144
19,PASS,48168.0,66248,0,2050,144
20,PASS,43036.0,66248,0,2050,144
21,PASS,53043.8,66328,0,2050,144
22,PASS,44210.9,66328,0,2050,144
23,PASS,53251.5,66328,0,2050,144
24,PASS,53224.9,66328,0,2050,144
25,PASS,50120.7,66408,0,2050,144
26,PASS,42213.6,66408,0,2050,144
27,PASS,52862.4,66408,0,2050,144
28,PASS,53296.9,66408,0,2050,144
29,PASS,49690.7,66488,0,2050,144
30,PASS,42899.4,66488,0,2050,144
31,PASS,52343.1,66488,0,2050,144
32,PASS,53089.2,66488,0,2050,144
33,PASS,53564.2,66568,0,2050,144
34,PASS,42961.5,66568,0,2050,144
35,PASS,53026.1,66568,0,2050,144
36,PASS,47629.4,66568,0,2050,144
37,PASS,53273.2,66648,0,2050,144
38,PASS,56057.7,66648,0,2050,144
39,PASS,44407.4,66648,0,2050,144
40,PASS,53524.1,66648,0,2050,144
41,PASS,52297.6,66728,0,2050,144
42,PASS,46953.7,66728,0,2050,144
43,PASS,47839.6,66728,0,2050,144
44,PASS,48072.0,66728,0,2050,144
45,PASS,47896.3,66808,0,2050,144
46,PASS,53168.5,66808,0,2050,144
47,PASS,52483.9,66808,0,2050,144
48,PASS,47319.5,66808,0,2050,144
49,PASS,53391.5,66888,0,2050,144
50,PASS,53237.4,66888,0,2050,144
51,PASS,47914.1,66888,0,2050,144
52,PASS,49928.8,66888,0,2050,144
53,PASS,52709.5,66968,0,2050,144
54,PASS,53324.1,66968,0,2050,144
55,PASS,47828.3,66968,0,2050,144
56,PASS,53278.4,66968,0,2050,144
57,PASS,48057.4,67048,0,2050,144
58,PASS,53333.6,67048,0,2050,144
59,PASS,53143.3,67048,0,2050,144
60,PASS,48126.4,67048,0,2050,144
61,PASS,54467.6,67128,0,2050,144
62,PASS,53196.9,67128,0,2050,144
63,PASS,53262.6,67128,0,2050,144
64,PASS,53125.2,67128,0,2050,144
65,PASS,34403.8,67208,0,2050,144
66,PASS,53113.3,67208,0,2050,144
67,PASS,53219.8,67208,0,2050,144
68,PASS,53200.5,67208,0,2050,144
69,PASS,52713.6,67288,0,2050,144
70,PASS,53076.7,67288,0,2050,144
71,PASS,53043.8,67288,0,2050,144
72,PASS,32176.7,67288,0,2050,144
73,PASS,53453.4,67368,0,2050,144
74,PASS,53173.5,67368,0,2050,144
75,PASS,52386.1,67368,0,2050,144
76,PASS,48141.4,67368,0,2050,144
77,PASS,39368.4,67448,0,2050,144
78,PASS,47996.2,67448,0,2050,144
79,PASS,53402.5,67448,0,2050,144
80,PASS,53537.2,67448,0,2050,144
81,PASS,53175.8,67528,0,2050,144
82,PASS,53348.2,67528,0,2050,144
83,PASS,53277.4,67528,0,2050,144
84,PASS,51325.8,67528,0,2050,144
85,PASS,53272.2,67608,0,2050,144
86,PASS,48154.8,67608,0,2050,144
87,PASS,53339.8,67608,0,2050,144
88,PASS,47636.8,67608,0,2050,144
89,PASS,51287.9,67688,0,2050,144
90,PASS,52464.3,67688,0,2050,144
91,PASS,53344.0,67688,0,2050,144
92,PASS,47604.3,67688,0,2050,144
93,PASS,42876.8,67768,0,2050,144
94,PASS,48108.7,67768,0,2050,144
95,PASS,53384.8,67768,0,2050,144
96,PASS,53541.6,67768,0,2050,144
97,PASS,53189.0,67848,0,2050,144
98,PASS,48500.3,67848,0,2050,144
99,PASS,52550.2,67848,0,2050,144
100,PASS,53487.4,67848,0,2050,144
101,PASS,43610.9,67928,0,2050,144
102,PASS,47295.7,67928,0,2050,144
103,PASS,53186.2,67928,0,2050,144
104,PASS,53203.9,67928,0,2050,144
105,PASS,47961.5,68008,0,2050,144
106,PASS,51647.2,68008,0,2050,144
107,PASS,52682.6,68008,0,2050,144
108,PASS,51391.4,68008,0,2050,144
109,PASS,53400.5,68088,0,2050,144
110,PASS,40254.8,68088,0,2050,144
111,PASS,52344.1,68088,0,2050,144
112,PASS,48013.2,68088,0,2050,144
113,PASS,52449.5,68168,0,2050,144
114,PASS,52808.5,68168,0,2050,144
115,PASS,53249.6,68168,0,2050,144
116,PASS,38658.2,68168,0,2050,144
117,PASS,47245.8,68248,0,2050,144
118,PASS,53297.6,68248,0,2050,144
119,PASS,48157.9,68248,0,2050,144
120,PASS,53835.4,68248,0,2050,144
121,PASS,43134.3,68328,0,2050,144
122,PASS,53395.2,68328,0,2050,144
123,PASS,48351.3,68328,0,2050,144
124,PASS,52651.6,68328,0,2050,144
125,PASS,48318.5,68408,0,2050,144
126,PASS,53329.6,68408,0,2050,144
127,PASS,49619.3,68408,0,2050,144
128,PASS,52803.8,68408,0,2050,144
129,PASS,52312.8,68488,0,2050,144
130,PASS,47986.3,68488,0,2050,144
131,PASS,48398.8,68488,0,2050,144
132,PASS,48339.8,68488,0,2050,144
133,PASS,48137.7,68568,0,2050,144
134,PASS,47356.0,68568,0,2050,144
135,PASS,43163.6,68568,0,2050,144
136,PASS,52207.2,68568,0,2050,144
137,PASS,53470.4,68648,0,2050,144
138,PASS,52928.0,68648,0,2050,144
139,PASS,53198.1,68648,0,2050,144
140,PASS,53629.2,68648,0,2050,144
141,PASS,52209.9,68728,0,2050,144
142,PASS,38311.9,68728,0,2050,144
143,PASS,49354.7,68728,0,2050,144
144,PASS,53298.6,68728,0,2050,144
145,PASS,53535.4,68808,0,2050,144
146,PASS,51385.4,68808,0,2050,144
147,PASS,48218.4,68808,0,2050,144
148,PASS,39604.9,68808,0,2050,144
149,PASS,53563.0,68888,0,2050,144
150,PASS,53418.5,68888,0,2050,144
151,PASS,48196.9,68888,0,2050,144
152,PASS,47905.6,68888,0,2050,144
153,PASS,51754.0,68968,0,2050,144
154,PASS,48360.5,68968,0,2050,144
155,PASS,52836.4,68968,0,2050,144
156,PASS,53272.4,68968,0,2050,144
157,PASS,52963.0,69048,0,2050,144
158,PASS,53432.4,69048,0,2050,144
159,PASS,53401.5,69048,0,2050,144
160,PASS,41206.5,69048,0,2050,144
161,PASS,48074.9,69128,0,2050,144
162,PASS,43123.1,69128,0,2050,144
163,PASS,52963.7,69128,0,2050,144
164,PASS,53357.9,69128,0,2050,144
165,PASS,53466.4,69208,0,2050,144
166,PASS,54650.9,69208,0,2050,144
167,PASS,53066.0,69208,0,2050,144
168,PASS,43126.2,69208,0,2050,144
169,PASS,53203.5,69288,0,2050,144
170,PASS,53502.2,69288,0,2050,144
